iter	Passed	Remaining
0	148	148327
1	155	77802
2	164	54741
3	172	42842
4	178	35599
5	186	30858
6	192	27347
7	202	25054
8	208	22975
9	216	21401
10	224	20206
11	232	19116
12	238	18142
13	246	17340
14	252	16603
15	259	15981
16	266	15430
17	273	14939
18	281	14536
19	289	14184
20	296	13842
21	303	13511
22	311	13239
23	319	12987
24	328	12794
25	336	12620
26	345	12452
27	353	12274
28	362	12132
29	370	11981
30	378	11826
31	386	11699
32	394	11570
33	403	11466
34	411	11351
35	420	11259
36	429	11189
37	438	11112
38	447	11033
39	456	10948
40	465	10888
41	475	10841
42	483	10762
43	492	10698
44	500	10627
45	509	10575
46	518	10523
47	528	10491
48	538	10455
49	547	10402
50	557	10366
51	566	10319
52	576	10295
53	586	10267
54	594	10219
55	603	10176
56	613	10151
57	622	10113
58	631	10069
59	639	10022
60	648	9978
61	657	9945
62	665	9904
63	674	9859
64	684	9847
65	693	9816
66	702	9788
67	713	9785
68	724	9782
69	735	9770
70	745	9750
71	754	9725
72	764	9705
73	773	9680
74	784	9671
75	797	9690
76	807	9676
77	818	9676
78	829	9665
79	840	9666
80	850	9650
81	861	9648
82	872	9640
83	883	9633
84	893	9623
85	903	9606
86	914	9599
87	926	9598
88	937	9596
89	949	9599
90	962	9610
91	973	9608
92	984	9601
93	994	9589
94	1006	9586
95	1017	9580
96	1028	9573
97	1038	9559
98	1050	9557
99	1061	9555
100	1072	9548
101	1084	9550
102	1095	9544
103	1106	9535
104	1116	9518
105	1129	9523
106	1140	9519
107	1151	9509
108	1161	9496
109	1172	9487
110	1184	9483
111	1194	9468
112	1204	9455
113	1215	9449
114	1227	9444
115	1239	9447
116	1251	9442
117	1264	9453
118	1275	9441
119	1286	9437
120	1299	9438
121	1311	9436
122	1323	9435
123	1334	9424
124	1346	9428
125	1358	9426
126	1370	9423
127	1383	9423
128	1396	9430
129	1408	9425
130	1419	9413
131	1430	9409
132	1441	9397
133	1454	9397
134	1468	9407
135	1480	9406
136	1493	9409
137	1506	9412
138	1518	9402
139	1531	9406
140	1541	9393
141	1553	9386
142	1564	9378
143	1577	9375
144	1588	9368
145	1599	9357
146	1610	9343
147	1622	9342
148	1635	9343
149	1646	9330
150	1659	9330
151	1670	9317
152	1680	9303
153	1691	9291
154	1702	9282
155	1713	9272
156	1724	9261
157	1736	9255
158	1746	9237
159	1758	9229
160	1767	9213
161	1779	9204
162	1790	9195
163	1801	9184
164	1813	9177
165	1823	9162
166	1836	9162
167	1848	9152
168	1864	9166
169	1876	9160
170	1889	9160
171	1904	9166
172	1915	9157
173	1931	9168
174	1943	9162
175	1954	9152
176	1966	9141
177	1977	9129
178	1987	9114
179	1998	9103
180	2008	9089
181	2018	9074
182	2029	9060
183	2039	9045
184	2049	9028
185	2061	9020
186	2071	9006
187	2082	8993
188	2092	8977
189	2101	8960
190	2111	8945
191	2121	8929
192	2130	8908
193	2139	8889
194	2150	8878
195	2160	8864
196	2171	8852
197	2181	8834
198	2190	8817
199	2200	8801
200	2209	8784
201	2219	8768
202	2228	8749
203	2237	8729
204	2246	8712
205	2255	8692
206	2263	8672
207	2272	8653
208	2281	8636
209	2291	8619
210	2300	8601
211	2311	8590
212	2322	8580
213	2331	8564
214	2341	8549
215	2351	8533
216	2360	8516
217	2369	8499
218	2378	8482
219	2387	8465
220	2398	8452
221	2409	8442
222	2420	8433
223	2431	8421
224	2442	8414
225	2455	8411
226	2465	8396
227	2477	8387
228	2487	8376
229	2498	8363
230	2508	8351
231	2520	8344
232	2530	8329
233	2540	8317
234	2551	8306
235	2562	8294
236	2572	8281
237	2582	8268
238	2592	8253
239	2602	8241
240	2611	8223
241	2621	8211
242	2630	8195
243	2639	8178
244	2648	8162
245	2658	8147
246	2666	8128
247	2675	8114
248	2685	8098
249	2694	8083
250	2704	8069
251	2713	8054
252	2722	8038
253	2731	8021
254	2740	8007
255	2750	7994
256	2759	7976
257	2768	7961
258	2777	7946
259	2787	7934
260	2796	7918
261	2807	7908
262	2817	7894
263	2827	7881
264	2835	7864
265	2846	7853
266	2856	7843
267	2866	7829
268	2877	7820
269	2886	7805
270	2897	7795
271	2908	7785
272	2920	7776
273	2932	7768
274	2942	7757
275	2953	7748
276	2963	7734
277	2973	7722
278	2983	7710
279	2995	7701
280	3005	7689
281	3015	7678
282	3025	7665
283	3036	7654
284	3046	7642
285	3057	7633
286	3066	7618
287	3076	7606
288	3087	7597
289	3098	7585
290	3108	7574
291	3119	7563
292	3128	7548
293	3137	7535
294	3147	7521
295	3156	7506
296	3165	7493
297	3176	7482
298	3185	7468
299	3197	7460
300	3206	7446
301	3216	7434
302	3226	7421
303	3234	7404
304	3243	7391
305	3252	7377
306	3261	7363
307	3271	7349
308	3279	7334
309	3289	7321
310	3298	7307
311	3306	7291
312	3315	7276
313	3323	7261
314	3333	7249
315	3343	7236
316	3352	7222
317	3360	7207
318	3369	7192
319	3377	7177
320	3387	7164
321	3397	7153
322	3406	7139
323	3415	7125
324	3424	7112
325	3433	7097
326	3442	7084
327	3452	7073
328	3461	7060
329	3470	7046
330	3480	7033
331	3490	7022
332	3501	7013
333	3512	7003
334	3524	6995
335	3534	6985
336	3548	6980
337	3558	6969
338	3568	6958
339	3580	6949
340	3591	6941
341	3602	6931
342	3615	6924
343	3625	6913
344	3636	6903
345	3647	6895
346	3656	6881
347	3667	6870
348	3675	6856
349	3685	6845
350	3694	6831
351	3704	6819
352	3713	6807
353	3723	6794
354	3732	6782
355	3741	6768
356	3751	6756
357	3759	6742
358	3769	6729
359	3778	6716
360	3788	6705
361	3798	6694
362	3807	6680
363	3816	6668
364	3825	6655
