iter	F1	Logloss
0	0.8864082264	0.6120223155
1	0.8859621651	0.5478849666
2	0.9196433203	0.500573256
3	0.9194634969	0.4607475093
4	0.9187428443	0.4306926318
5	0.9210442849	0.3997980176
6	0.9210641393	0.3642429257
7	0.919905939	0.3448147805
8	0.9214008044	0.3223328984
9	0.9221278246	0.30649073
10	0.9229935059	0.2895456846
11	0.9250057634	0.2758248159
12	0.9268379908	0.2642980153
13	0.9268706006	0.2562040596
14	0.9293387139	0.2450969931
15	0.932480285	0.2340548307
16	0.9334842185	0.2272174994
17	0.9337407541	0.2180145401
18	0.933574796	0.2116101731
19	0.9345400609	0.2067850212
20	0.9344387929	0.2019336691
21	0.9351295709	0.1979926736
22	0.9344459661	0.1953936564
23	0.9361574947	0.1912701384
24	0.9382696097	0.1877622204
25	0.939147366	0.1835077911
26	0.9398537506	0.1810306433
27	0.9401452512	0.1789897525
28	0.9404776998	0.1771865428
29	0.9408087128	0.1750380893
30	0.94172826	0.1725737266
31	0.9416651449	0.1707368848
32	0.9421664023	0.167968396
33	0.9426929343	0.1659344388
34	0.9427315794	0.1644651451
35	0.9428931014	0.163389613
36	0.9432597942	0.1612645412
37	0.9433899696	0.1600263579
38	0.9430630869	0.1586380954
39	0.943469293	0.1576437183
40	0.94389243	0.1562832319
41	0.9438921662	0.1554644615
42	0.944254392	0.1543873715
43	0.9446232501	0.1528765227
44	0.9443846626	0.1520689085
45	0.9445437384	0.1510291975
46	0.9447408613	0.1499306977
47	0.9447489556	0.1494793728
48	0.944822952	0.1485660809
49	0.9452578269	0.1469310768
50	0.9454377289	0.1464422596
51	0.9455520511	0.1456927156
52	0.9457556139	0.1448644347
53	0.9458711817	0.1443288868
54	0.9458158905	0.1435966859
55	0.9461176983	0.1429724018
56	0.9463877058	0.1415641913
57	0.9464691658	0.1408232861
58	0.9466489888	0.1401675416
59	0.9466928444	0.1396076987
60	0.9469024448	0.1389716888
61	0.9469573303	0.1385548092
62	0.9471241123	0.1377141565
63	0.9474342063	0.1372599682
64	0.9474016938	0.1367549755
65	0.947609711	0.1364506333
66	0.9476281197	0.1359720039
67	0.9476606513	0.1354885613
68	0.947854587	0.1350170754
69	0.9480131385	0.1345972007
70	0.9480471123	0.1340246544
71	0.948098077	0.1337412482
72	0.9483641733	0.1333411312
73	0.9486500537	0.1326691063
74	0.94872801	0.1320690603
75	0.9488739159	0.1316616418
76	0.9488412947	0.1310485535
77	0.9489035761	0.1306078139
78	0.9489501312	0.1303142355
79	0.9490322747	0.1299557346
80	0.9490352594	0.1293276591
81	0.9491117946	0.1290786133
82	0.9493512037	0.1280566445
83	0.9497326556	0.1271060625
84	0.9497372942	0.1268990609
85	0.9500681612	0.1256434183
86	0.9502295037	0.1254573635
87	0.9503245355	0.1251058726
88	0.9505513748	0.1246973738
89	0.9505825258	0.1241916738
90	0.9507215315	0.1235354436
91	0.9508421908	0.123270515
92	0.9509907466	0.1229011926
93	0.9510691341	0.1220521346
94	0.9513311755	0.1218332686
95	0.9513934852	0.1214640376
96	0.9515586857	0.1212145589
97	0.951906439	0.1207319334
98	0.9518586412	0.1204983671
99	0.9518035806	0.1201421301
100	0.9519811522	0.119800458
101	0.9521002528	0.119539083
102	0.9522487816	0.1192118992
103	0.9522543186	0.1190092145
104	0.9525382421	0.1185606067
105	0.9526611123	0.1184614799
106	0.9527216531	0.1183461648
107	0.952697792	0.1182217003
108	0.9527013326	0.1179782613
109	0.9529011087	0.1177052661
110	0.9529432999	0.1174048176
111	0.9530899694	0.1172168967
112	0.953207259	0.1166806794
113	0.9535169081	0.1163591592
114	0.9536176724	0.1161355904
115	0.9537037703	0.1158692695
116	0.9538026853	0.1156724074
117	0.9537733945	0.1154571372
118	0.9539309728	0.1152405772
119	0.9540610301	0.1147754695
120	0.954141625	0.1145010801
121	0.9542533563	0.1137995683
122	0.9542241003	0.113595042
123	0.9543375193	0.1133583527
124	0.9543301568	0.113209081
125	0.9543924254	0.1130875611
126	0.9543907508	0.1129312323
127	0.9547756443	0.1125398983
128	0.9548581606	0.1122356558
129	0.9547592688	0.1121336106
130	0.9547554187	0.1119425664
131	0.9548799807	0.1117967755
132	0.9549605558	0.1115637192
133	0.9549185107	0.1113875107
134	0.9550376234	0.1111057366
135	0.9550722643	0.110834844
136	0.9551547847	0.1106431862
137	0.9552719318	0.1104849687
138	0.9552793375	0.1103539962
139	0.955313949	0.1100182654
140	0.9553781881	0.1098090107
141	0.9555467154	0.1092262454
142	0.9556401194	0.1091206144
143	0.9556529716	0.1090158556
144	0.9556841061	0.1087921989
145	0.9559520732	0.1083975365
146	0.9559155103	0.1081534455
147	0.9560420943	0.1076314211
148	0.9560989607	0.1074632606
149	0.9561720771	0.1072492838
150	0.956391365	0.1069433268
151	0.9563527783	0.1067642582
152	0.9565158946	0.1063667727
153	0.9567346363	0.1058829384
154	0.9569385122	0.1055876791
155	0.9569480856	0.1055341311
156	0.9569459948	0.1054508448
157	0.9570373253	0.1051819004
158	0.957169375	0.1050740961
159	0.9571930217	0.1049353542
160	0.9573840956	0.1046986211
161	0.957506528	0.1042053558
162	0.9574957781	0.1037681875
163	0.9574592611	0.1036082894
164	0.9575816872	0.1033530238
165	0.9577040909	0.103260774
166	0.9578028596	0.1031572627
167	0.9577899755	0.1030476126
168	0.9578576037	0.1029154655
169	0.9579091436	0.1028115122
170	0.9579349157	0.1026532213
171	0.9579252265	0.102553438
172	0.9579402763	0.1024163028
173	0.9579456366	0.1022733621
174	0.9580003714	0.1021600588
175	0.9581560169	0.1020046629
176	0.9581377757	0.1019194101
177	0.9581560169	0.1018263129
178	0.9582440507	0.1017282337
179	0.9582236244	0.101586734
180	0.9581431295	0.1014076608
181	0.9581506635	0.1013014152
182	0.9582129219	0.1011592863
183	0.9582258108	0.1009409471
184	0.958388999	0.1008528693
185	0.9585264078	0.1007325141
186	0.9585081721	0.1005780341
187	0.9585028292	0.1005083175
188	0.9585210656	0.1003932868
189	0.9585930932	0.1002602075
190	0.9586059895	0.09999667319
191	0.9585877523	0.0998923035
192	0.958574856	0.09980681297
193	0.9586704759	0.09972605431
194	0.9587919091	0.09957511133
195	0.9588208144	0.09946482321
196	0.9588177117	0.09937750768
197	0.9589582538	0.0992184885
198	0.9590463281	0.09913340314
199	0.9590098651	0.09904945562
200	0.9590797139	0.09895970884
201	0.9591268258	0.09883163422
202	0.9591344058	0.09842439185
203	0.9592073194	0.09832827056
204	0.9593265278	0.09809759762
205	0.959324258	0.09804189926
206	0.9593941079	0.09791920747
207	0.9594639629	0.0977540512
208	0.9595315375	0.09767701874
209	0.9595186286	0.09760063073
210	0.9595702663	0.09745366157
211	0.959552045	0.09739199517
212	0.9595626674	0.09725647548
213	0.9596537611	0.09714448981
214	0.9596484533	0.09706376664
215	0.9596719779	0.0968698773
216	0.9597107082	0.09674655587
217	0.959705402	0.0966545152
218	0.9597418352	0.09657216981
219	0.9598146938	0.09639443555
220	0.9597964801	0.09626424431
221	0.9598458182	0.09621989807
222	0.9598557381	0.0960077127
223	0.9599309073	0.09581865469
224	0.9599756101	0.09565116336
225	0.9599574001	0.09558485558
226	0.9599703128	0.0955252286
227	0.9600895099	0.09541591911
228	0.960113011	0.09533122853
229	0.9601312179	0.09522488327
230	0.9601100466	0.09512161856
231	0.96020342	0.09497516353
232	0.9601775871	0.09486185813
233	0.9602140004	0.09467166841
234	0.9601852124	0.09461452578
235	0.9602292543	0.0945623942
236	0.9602110466	0.09448237012
237	0.9603713677	0.09432024868
238	0.960488241	0.09424173514
239	0.9604723926	0.09415449106
240	0.9605217273	0.09407985328
241	0.9605945427	0.09392811699
242	0.9607630957	0.09382022224
243	0.9608564702	0.09371924136
244	0.9608875945	0.09364902108
245	0.9607966015	0.09349216408
246	0.9607966015	0.09342264828
247	0.960744375	0.09331909123
248	0.9607937089	0.09321980594
249	0.9608248394	0.09314604222
250	0.9609364288	0.09305388786
251	0.9609416978	0.09298938503
252	0.9609469664	0.09292111598
253	0.9609627705	0.09281460125
254	0.960939306	0.09275705888
255	0.9608665126	0.09268405875
256	0.9609675576	0.09255386237
257	0.9609493589	0.09248829342
258	0.9609622893	0.09244245129
259	0.9610451456	0.09230677673
260	0.9611878631	0.09224696112
261	0.9612266662	0.09216275781
262	0.9612214055	0.09208263571
263	0.9612994432	0.09193802293
264	0.961359275	0.09181309384
265	0.9613774651	0.0916923026
266	0.9613980807	0.0916427199
267	0.9614215247	0.09157849582
268	0.9614162708	0.09149425983
269	0.9614680166	0.09138391082
270	0.9614316356	0.09132441309
271	0.9615403949	0.09127083241
272	0.9615274555	0.09118891524
273	0.9615327067	0.09101279391
274	0.9615925227	0.09094774368
275	0.9616470821	0.0908868448
276	0.9616470821	0.09082003004
277	0.9616288963	0.09075359099
278	0.9617040849	0.09065288912
279	0.9616858997	0.09059935387
280	0.9616652673	0.09042739668
281	0.9616963907	0.09037027642
282	0.9617275138	0.09031893072
283	0.9618208818	0.0902472318
284	0.961784517	0.09018459506
285	0.961784517	0.09012056013
286	0.9619481386	0.0900515181
287	0.962010374	0.08993106481
288	0.9619921976	0.08985631087
289	0.9619999039	0.08980383798
290	0.9619999039	0.08973911505
291	0.9620414913	0.08963777806
292	0.9620337836	0.08962135749
293	0.9620673755	0.08951799748
294	0.9620984933	0.08943476327
295	0.9620544332	0.08938658941
296	0.9620491997	0.08931939826
297	0.9620673755	0.089273161
298	0.9621425541	0.08910634928
299	0.9621296108	0.08907179573
300	0.9621373232	0.08903778893
301	0.962119148	0.08902478315
302	0.9621062043	0.08892155986
303	0.9621736718	0.08886360453
304	0.9621373232	0.08882499867
305	0.9622047892	0.08868885996
306	0.9622306784	0.08858799744
307	0.9622695148	0.08852445389
308	0.9623006338	0.08846883257
309	0.962318806	0.08844340532
310	0.9623292563	0.08837892838
311	0.962362871	0.08831466002
312	0.9623862653	0.08824819976
313	0.9624432769	0.08821085987
314	0.9624251072	0.08813264167
315	0.9624432769	0.08806053198
316	0.9625055109	0.08801176245
317	0.9625547947	0.08792707333
318	0.9625495766	0.08787314683
319	0.9625911272	0.08776664502
320	0.9625988599	0.08767936055
321	0.962653356	0.08762713822
322	0.9626637846	0.08759516859
