iter	Passed	Remaining
0	43	21474
1	86	21522
2	131	21758
3	177	21979
4	219	21769
5	262	21609
6	305	21524
7	351	21607
8	395	21566
9	437	21460
10	481	21402
11	523	21305
12	568	21305
13	612	21252
14	655	21184
15	700	21187
16	742	21099
17	783	20987
18	828	20975
19	869	20859
20	913	20828
21	956	20784
22	1003	20818
23	1051	20855
24	1095	20812
25	1141	20806
26	1187	20804
27	1234	20805
28	1280	20790
29	1326	20785
30	1395	21107
31	1460	21359
32	1512	21409
33	1561	21399
34	1608	21374
35	1652	21293
36	1696	21222
37	1740	21155
38	1783	21077
39	1830	21048
40	1873	20975
41	1917	20914
42	1961	20844
43	2006	20797
44	2052	20756
45	2102	20749
46	2153	20760
47	2202	20735
48	2251	20722
49	2298	20685
50	2344	20644
51	2391	20606
52	2438	20565
53	2486	20534
54	2533	20501
55	2582	20477
56	2627	20423
57	2672	20368
58	2717	20313
59	2761	20247
60	2807	20207
61	2854	20167
62	2902	20134
63	2950	20099
64	2994	20040
65	3039	19987
66	3086	19950
67	3133	19907
68	3181	19872
69	3243	19925
70	3291	19886
71	3340	19857
72	3390	19829
73	3443	19821
74	3497	19817
75	3546	19788
76	3595	19752
77	3645	19722
78	3693	19682
79	3741	19645
80	3804	19680
81	3853	19643
82	3904	19617
83	3961	19617
84	4006	19561
85	4053	19512
86	4105	19491
87	4153	19443
88	4198	19389
89	4244	19337
90	4294	19302
91	4339	19243
92	4383	19185
93	4430	19135
94	4478	19092
95	4523	19037
96	4574	19006
97	4618	18946
98	4674	18933
99	4721	18884
100	4765	18825
101	4811	18774
102	4857	18723
103	4905	18678
104	4990	18774
105	5062	18815
106	5129	18838
107	5198	18869
108	5251	18836
109	5301	18797
110	5354	18766
111	5412	18750
112	5467	18724
113	5527	18716
114	5585	18699
115	5636	18657
116	5691	18632
117	5745	18599
118	5799	18568
119	5853	18536
120	5909	18509
121	5965	18481
122	6020	18453
123	6072	18413
124	6141	18424
125	6197	18395
126	6252	18362
127	6313	18347
128	6369	18319
129	6430	18302
130	6496	18299
131	6544	18246
132	6602	18217
133	6661	18195
134	6716	18158
135	6768	18116
136	6820	18071
137	6872	18028
138	6921	17975
139	6970	17923
140	7021	17877
141	7074	17835
142	7131	17803
143	7185	17763
144	7242	17731
145	7296	17690
146	7349	17648
147	7403	17607
148	7456	17566
149	7513	17531
150	7564	17482
151	7619	17444
152	7670	17396
153	7730	17367
154	7781	17320
155	7830	17267
156	7879	17214
157	7930	17164
158	7980	17115
159	8031	17066
160	8083	17020
161	8137	16979
162	8186	16925
163	8236	16873
164	8286	16824
165	8336	16772
166	8391	16733
167	8442	16683
168	8493	16634
169	8544	16585
170	8602	16551
171	8653	16501
172	8708	16460
173	8760	16413
174	8846	16429
175	8895	16376
176	8957	16346
177	9026	16329
178	9096	16312
179	9161	16286
180	9219	16248
181	9279	16213
182	9340	16179
183	9400	16143
184	9454	16098
185	9503	16043
186	9550	15985
187	9600	15931
188	9649	15877
189	9696	15820
190	9744	15765
191	9791	15707
192	9843	15658
193	9889	15599
194	9939	15546
195	9985	15487
196	10027	15423
197	10076	15369
198	10120	15308
199	10166	15249
200	10210	15189
201	10254	15127
202	10302	15073
203	10347	15014
204	10394	14958
205	10439	14898
206	10485	14841
207	10529	14782
208	10576	14726
209	10626	14674
210	10684	14633
211	10733	14581
212	10785	14532
213	10835	14480
214	10888	14432
215	10941	14385
216	10993	14337
217	11037	14278
218	11084	14222
219	11127	14161
220	11171	14103
221	11220	14050
222	11270	13999
223	11318	13946
224	11364	13890
225	11413	13837
226	11460	13782
227	11512	13734
228	11560	13681
229	11622	13643
230	11679	13601
231	11726	13545
232	11779	13497
233	11826	13444
234	11870	13385
235	11915	13328
236	11961	13273
237	12006	13217
238	12051	13161
239	12096	13104
240	12143	13050
241	12188	12994
242	12236	12941
243	12281	12885
244	12328	12831
245	12375	12777
246	12422	12724
247	12469	12670
248	12515	12615
249	12561	12561
250	12607	12507
251	12657	12457
252	12706	12405
253	12753	12351
254	12799	12297
255	12847	12245
256	12894	12191
257	12941	12138
258	12987	12085
259	13035	12032
260	13081	11979
261	13132	11929
262	13180	11877
263	13227	11824
264	13275	11772
265	13321	11719
266	13368	11666
267	13415	11613
268	13462	11561
269	13515	11512
270	13562	11460
271	13608	11407
272	13657	11355
273	13703	11303
274	13754	11253
275	13801	11200
276	13850	11150
277	13899	11099
278	13950	11050
279	13999	10999
280	14048	10949
281	14094	10895
282	14147	10848
283	14200	10800
284	14249	10749
285	14299	10699
286	14347	10648
287	14394	10595
288	14442	10544
289	14489	10492
290	14535	10439
291	14581	10386
292	14626	10333
293	14673	10281
294	14719	10229
295	14766	10176
296	14811	10123
297	14858	10071
298	14904	10019
299	14954	9969
300	15000	9917
301	15061	9874
302	15109	9823
303	15155	9771
304	15199	9717
305	15247	9666
306	15293	9614
307	15338	9561
308	15385	9510
309	15431	9457
310	15477	9406
311	15527	9356
312	15585	9311
313	15632	9259
314	15681	9209
315	15726	9157
316	15771	9104
317	15817	9052
318	15864	9001
319	15908	8948
320	15955	8897
321	16004	8847
322	16049	8794
323	16094	8742
324	16140	8691
325	16184	8638
326	16231	8587
327	16278	8536
328	16325	8485
329	16374	8435
330	16423	8385
331	16470	8334
332	16522	8285
333	16569	8234
334	16616	8184
335	16665	8134
336	16716	8085
337	16762	8034
338	16807	7982
339	16853	7931
340	16897	7878
341	16943	7827
342	16990	7777
343	17036	7725
344	17081	7674
345	17129	7624
346	17178	7574
347	17225	7523
348	17269	7472
349	17322	7424
350	17371	7374
351	17418	7323
352	17464	7272
353	17511	7222
354	17559	7172
355	17606	7121
356	17654	7071
357	17701	7021
358	17747	6970
359	17793	6919
360	17839	6869
361	17887	6818
362	17934	6768
363	17980	6718
364	18025	6666
365	18071	6616
366	18118	6566
367	18164	6515
368	18208	6464
369	18249	6411
370	18295	6361
371	18340	6310
372	18387	6260
373	18433	6210
374	18480	6160
375	18526	6109
376	18570	6058
377	18618	6009
378	18677	5962
379	18723	5912
380	18769	5862
381	18812	5811
382	18858	5760
383	18904	5710
384	18950	5660
385	18995	5610
386	19043	5560
387	19091	5510
388	19137	5460
389	19181	5410
390	19229	5360
391	19289	5314
392	19336	5264
393	19382	5214
394	19431	5165
395	19478	5115
396	19522	5064
397	19570	5015
398	19617	4965
399	19664	4916
400	19710	4866
401	19756	4816
402	19802	4766
403	19849	4716
404	19895	4666
405	19942	4617
406	19990	4567
407	20038	4518
408	20084	4468
409	20131	4419
410	20172	4368
411	20223	4319
412	20269	4269
413	20319	4220
414	20362	4170
415	20412	4121
416	20457	4071
417	20504	4022
418	20552	3973
419	20597	3923
420	20644	3873
421	20690	3824
422	20740	3775
423	20786	3725
424	20831	3676
425	20881	3627
426	20926	3577
427	20974	3528
428	21022	3479
429	21070	3430
430	21118	3380
431	21165	3331
432	21213	3282
433	21260	3233
434	21307	3183
435	21353	3134
436	21400	3085
437	21453	3036
438	21501	2987
439	21549	2938
440	21599	2889
441	21646	2840
442	21693	2791
443	21743	2742
444	21795	2693
445	21844	2644
446	21888	2595
447	21935	2546
448	21981	2496
449	22025	2447
450	22073	2398
451	22124	2349
452	22176	2300
453	22220	2251
454	22266	2202
455	22322	2153
456	22367	2104
457	22410	2055
458	22455	2005
459	22501	1956
460	22548	1907
461	22592	1858
462	22638	1809
463	22685	1760
464	22732	1711
465	22781	1662
466	22827	1613
467	22874	1564
468	22921	1515
469	22969	1466
470	23015	1417
471	23059	1367
472	23106	1318
473	23153	1270
474	23200	1221
475	23247	1172
476	23291	1123
477	23338	1074
478	23385	1025
479	23432	976
480	23478	927
481	23532	878
482	23580	829
483	23626	781
484	23671	732
485	23722	683
486	23769	634
487	23817	585
488	23862	536
489	23911	487
490	23964	439
491	24016	390
492	24064	341
493	24114	292
494	24161	244
495	24208	195
496	24260	146
497	24311	97
498	24365	48
499	24414	0
